iter	Logloss
0	0.658510786
1	0.6322776737
2	0.6114374323
3	0.5960488645
4	0.5847499892
5	0.5761352286
6	0.5702140182
7	0.5634599663
8	0.5570019498
9	0.5524767131
10	0.5482102336
11	0.5458971738
12	0.5413983479
13	0.5393812813
14	0.5379971017
15	0.5370837647
16	0.5357428446
17	0.5337264941
18	0.5320642233
19	0.529681367
20	0.5289236718
21	0.5280907883
22	0.5276578978
23	0.5268854598
24	0.5265606972
25	0.5257270134
26	0.5247744606
27	0.5243369788
28	0.5240486098
29	0.5236550194
30	0.5230375491
31	0.5224527658
32	0.5221165459
33	0.5218072421
34	0.5216606988
35	0.5215014766
36	0.5209118492
37	0.5200997742
38	0.5196482656
39	0.5190660517
40	0.5184774353
41	0.518231357
42	0.5180403747
43	0.5176964886
44	0.5175146468
45	0.5171973398
46	0.5169711011
47	0.5167048463
48	0.5157533044
49	0.5156269376
50	0.5152406765
51	0.5150919849
52	0.5149790551
53	0.5148891662
54	0.5144310866
55	0.5140821458
56	0.5140193837
57	0.5137562038
58	0.5135931906
59	0.5135513211
60	0.5134328733
61	0.5130596701
62	0.5129734879
63	0.5126483041
64	0.512344771
65	0.5121922885
66	0.5119804135
67	0.5118914934
68	0.5116872847
69	0.5115859385
70	0.5113722944
71	0.5106146834
72	0.5104651915
73	0.510292069
74	0.5100706323
75	0.5099532376
76	0.5098598104
77	0.5096912792
78	0.5095817613
79	0.5091945314
80	0.509065216
81	0.5088748234
82	0.5087463505
83	0.5084548645
84	0.5083223478
85	0.5081229411
86	0.5080478792
87	0.5077551295
88	0.507629226
89	0.5073986067
90	0.5073300316
91	0.5068221214
92	0.5062020396
93	0.5059224741
94	0.5057944646
95	0.5056039456
96	0.5054896258
97	0.5053605211
98	0.5052065221
99	0.5050123385
100	0.5047842464
101	0.5043502186
102	0.5041668604
103	0.504019601
104	0.5038635801
105	0.5033002792
106	0.5031487233
107	0.5029953561
108	0.5028263616
109	0.5026031557
110	0.5024324763
111	0.5022417889
112	0.5021578392
113	0.5018637416
114	0.5016984538
115	0.5015530478
116	0.5010968637
117	0.5008619899
118	0.5006552118
119	0.5004711375
120	0.5002963722
121	0.499920768
122	0.4997688752
123	0.4996545975
124	0.499530758
125	0.4994245678
126	0.4991574284
127	0.4989867069
128	0.4988342243
129	0.4986484651
130	0.49834489
131	0.4981367639
132	0.4979028169
133	0.4977796935
134	0.4976949014
135	0.4973548905
136	0.4970521157
137	0.4968900292
138	0.4965558733
139	0.4963022973
140	0.4959076539
141	0.4957117011
142	0.4955581655
143	0.4953686574
144	0.495251052
145	0.4950854694
146	0.4947791985
147	0.4946209873
148	0.4944011091
149	0.4942348104
150	0.4938583216
151	0.4935937096
152	0.4934844865
153	0.4932976743
154	0.4930978042
155	0.4928902678
156	0.4926899343
157	0.4925561962
158	0.4923919615
159	0.4922590236
160	0.4921174086
161	0.4919185915
162	0.4917835054
163	0.4916253363
164	0.4913212557
165	0.4912180983
166	0.4909584145
167	0.4908082066
168	0.4906924546
169	0.490445576
170	0.4901593553
171	0.4899556941
172	0.4898604136
173	0.4897806761
174	0.4896370813
175	0.4895171171
176	0.4893907504
177	0.4891817397
178	0.4890100494
179	0.4888517539
180	0.488746027
181	0.4886470397
182	0.48848727
183	0.4883430434
184	0.488201681
185	0.488037657
186	0.487922958
187	0.4877867768
188	0.4876358106
189	0.4874179964
190	0.4873421763
191	0.4871685484
192	0.4869053685
193	0.4867699875
194	0.4866341853
195	0.4865087453
196	0.4863580318
197	0.4862056335
198	0.4860618281
199	0.4859234143
