iter	Logloss
0	0.656368532
1	0.6334899102
2	0.6160667109
3	0.5950088238
4	0.5817259479
5	0.567079785
6	0.5566661932
7	0.5489523014
8	0.5418768567
9	0.5363643586
10	0.5309037971
11	0.5259171533
12	0.5223447222
13	0.5165315553
14	0.5134760486
15	0.5113023293
16	0.5090594874
17	0.5056344421
18	0.5036131633
19	0.5018412904
20	0.5009087457
21	0.4987362479
22	0.4967957596
23	0.4955530687
24	0.4945253276
25	0.4939627006
26	0.4926980639
27	0.491398887
28	0.4902910716
29	0.4894635376
30	0.4887662878
31	0.4878917876
32	0.4872612594
33	0.4864799336
34	0.4859025217
35	0.4853347136
36	0.4847068392
37	0.4841703701
38	0.4838618666
39	0.483294227
40	0.4828927598
41	0.4824959259
42	0.4821750386
43	0.4809192055
44	0.480461505
45	0.4800300045
46	0.4795039396
47	0.4793367564
48	0.4788980951
49	0.4784855076
50	0.4778642885
51	0.4775125676
52	0.4770865009
53	0.4768568504
54	0.4765426183
55	0.4759332355
56	0.4756569556
57	0.4753210727
58	0.4747264749
59	0.4741650273
60	0.4738367685
61	0.4734894704
62	0.4731702258
63	0.4728537192
64	0.4726637056
65	0.4723335092
66	0.4713832731
67	0.4710593951
68	0.4709363981
69	0.4706869501
70	0.4704535085
71	0.469824918
72	0.4693876889
73	0.4691174746
74	0.4687997043
75	0.4683308414
76	0.4679304272
77	0.4675549072
78	0.4672939598
79	0.4670659099
80	0.4666174342
81	0.4663725353
82	0.4660515637
83	0.4658058646
84	0.4654636633
85	0.4651873413
86	0.4649000253
87	0.4644567307
88	0.4640910252
89	0.4637364821
90	0.4634385514
91	0.4630814388
92	0.4624566815
93	0.4621706292
94	0.4619014258
95	0.4615248107
96	0.4612139063
97	0.4608523288
98	0.4605725527
99	0.4601175902
100	0.4598564322
101	0.4595419052
102	0.4591452399
103	0.4589272993
104	0.458723217
105	0.4584586049
106	0.4579444185
107	0.4577564268
108	0.4574413523
109	0.4571884503
110	0.4566969677
111	0.4562977751
112	0.4559444535
113	0.4556339704
114	0.4551936242
115	0.4548675558
116	0.4542308778
117	0.4540842503
118	0.4537109207
119	0.4534925167
120	0.4532361185
121	0.4530038564
122	0.4527162035
123	0.4523829742
124	0.4522341984
125	0.4519142377
126	0.4517246876
127	0.4514318536
128	0.4510250368
129	0.450726053
130	0.4502125826
131	0.4499147782
132	0.4495086354
133	0.4492337876
134	0.4490069593
135	0.4487555315
136	0.4484932362
137	0.4482128283
138	0.4478099289
139	0.4473181093
140	0.4471519791
141	0.4469568267
142	0.4467755746
143	0.4463865334
144	0.4462292489
145	0.4457709587
146	0.4455398338
147	0.4451906403
148	0.4449415292
149	0.4444184129
150	0.4441563282
151	0.4440556981
152	0.4438036806
153	0.4434776122
154	0.443151291
155	0.4430151098
156	0.442724761
157	0.4423666376
158	0.441982314
159	0.4416992946
160	0.4413669921
161	0.4410505275
162	0.4407939608
163	0.4406767767
164	0.44032514
165	0.4400339489
166	0.43978766
167	0.4396380417
168	0.4394142462
169	0.4391939889
170	0.4389412974
171	0.438738563
172	0.4386316567
173	0.4384242467
174	0.4382122032
175	0.4379603121
176	0.437864863
177	0.4376136037
178	0.4373655036
179	0.4370642031
180	0.4368359847
181	0.4365440774
182	0.4363461028
183	0.4361135037
184	0.4358559682
185	0.4356217684
186	0.4355061007
187	0.4352983537
188	0.4350574143
189	0.4348347139
190	0.4345842971
191	0.4343564157
192	0.4341341786
193	0.4340103813
194	0.4337223914
195	0.4333377309
196	0.4331820891
197	0.4330812906
198	0.4328188689
199	0.4325379134
